"Corn, sweet",Karamoja Dry Zone,One season,7,4,25,kg/ha,100 - 110,500-800,"Unreliable rains, planting dependent on when they are received, dry spell in middle of season, opening with hand hoe and oxen, direct seeding, no additional inputs used"
"Corn, sweet",Karamoja Wet Zone,One season,6,4,25,kg/ha,100 - 120,500-800,"Planted in early part of rains after millet and groundnuts, direct seeding, no additional inputs used"
"Corn, sweet",Northern Farming System,Two seasons,7,7,25,kg/ha,110 - 120,500-800,"Rainfed, direct seeding, rotation with fields that had sesame and cowpeas practiced, no other inputs added"
"Corn, sweet",West Nile Farming System,Two seasons,7,7,25,kg/ha,110 - 120,500-800,"Rainfed, direct seeding, rotation with fields that had sesame and groundnuts practiced, no other inputs added"
"Corn, sweet",Eastern Savanna,Two seasons in some,7,8,25,kg/ha,110 - 120,500-800,"Rainfed, direct seeding, rotation with fields that had groundnuts & cotton practiced, no other inputs added"
"Corn, sweet",Busoga Farming System,Two seasons in some but first season in the major one,6,8,25,kg/ha,110 - 120,500-800,"Rainfed, direct seeding, rotation with fields that had groundnuts practiced, no other inputs added"
"Corn, sweet",Lake Victoria Crescent,Two seasons,5,9,25,kg/ha,110 - 120,500-800,"Rainfed, direct seeding, intercropping common with beans, generally no other inputs added"
"Corn, sweet",Lake Albert Crescent,Two seasons,7,9,25,kg/ha,110 - 120,500-800,"Rainfed, direct seeding, intercropping common with beans, generally no other inputs added"
"Corn, sweet",Western Range Lands,One season,12,9,25,kg/ha,110 - 120,500-800,"Rainfed, direct seeding, crop benefits from animal manure, intercropped often with beans"
"Corn, sweet",Eastern Highlands,One season,8,4,25,kg/ha,120 - 180,500-800,"Rainfed, direct seeding, often intercropped with beans. Some application of DAP fertiliser at planting and Urea as top dressing in Kapchorwa & Bukwa districts"
"Corn, sweet",South Western Highlands,One season,1,9,25,kg/ha,150 - 180,500-800,"Rainfed, direct seeding, often intercropped with beans. Little use of additional inputs"
Barley,Eastern Highlands,Two seasons,6,9,100,kg/ha,100 - 110,,"Grown in parts of Kapchorwa & Bukwa districts, rain fed, direct seeding, herbicides used with DAP fertiliser at planting, contract crop with Uganda Breweries"
Mil africain,Northern Farming System,One season,7,4,8,kg/ha,110 - 130,,"Rain fed, sometimes planted just before onset of rains, direct seeding, often interplanted with such crops as pigeon peas, sorghum, maize"
Mil africain,Karamoja Wet Zone,One season,7,4,8,kg/ha,110 - 130,,"Rainfed, sometimes planted just before onset of rains, direct seeding, oten interplanted with sorghum and pigeon peas"
Mil africain,West Nile Farming System,One season,7,4,8,kg/ha,110 - 130,,"Rain fed, sometimes planted just before onset of rains, direct seeding, often interplanted with such crops as pigeon peas, sorghum, maize"
Mil africain,Busoga Farming System,One season,11,3,8,kg/ha,110 - 130,,"Planted in the second rains, rain fed, direct seeding, often interplanted with maize"
Mil africain,Eastern Savanna,One season,6,3,8,kg/ha,110 - 130,,"Rain fed, sometimes planted just before onset of rains, direct seeding, often interplanted with maize & sorghum"
Mil africain,Lake Albert Crescent,One season,11,8,8,kg/ha,110 - 130,,"Grown in some pockets, rain fed, sometimes planted before onset of rains, direct seeeding, intercropped with maize"
Mil africain,Western Range Lands,One season,11,8,8,kg/ha,110 - 130,,"Rain fed, often sown before onset of rains, direct seeding, often in intercrop with maize in varying densities"
Anis,Karamoja Dry Zone,One season,6,5,5,kg/ha,90 - 150,,"A minor crop grown in pockets, mostly in parts of Kaabong district, rain fed, direct seeding, sometimes intercropped with sorghum"
Anis,Northern Farming System,One season,10,8,5,kg/ha,90 - 150,,"A minor crop grown in pockets, in transition from arable to pastoral areas, rain fed, direct seeding, sometimes intercropped with sorghum"
Rice,Eastern Savanna,Two seasons,6,11,90,kg/ha,100 - 210,450-700,Upland grown as rain fed with direct seeding. Paddy rice grown after transplanting in drained swamps. Limited use of additional inputs
Rice,Northern Farming System,One season,6,10,90,kg/ha,100 - 150,450-700,Upland crop grown as rainfed with direct seeding. Generally no additional inputs are applied. Some irrigated paddy rice grown in a part of Lira district
Rice,Busoga Farming System,Two seasons,5,9,90,kg/ha,100 - 210,450-700,"Upland crop grown as rainfed with direct seeding. Mostly grown with no additional inputs are applied. Limited use of herbicides, DAP fertiliser at planting and Urea as top dressing. Paddy rice grown by draining swamps"
Rice,Lake Victoria Crescent,Two seasons,5,9,90,kg/ha,100 - 120,450-700,"Upland crop grown, rain fed and direct seeded. Limited use of herbicides, DAP or SSP fertiliser at planting and Urea as a top dressing"
Rice,Lake Albert Crescent,One season,12,8,90,kg/ha,100 - 120,450-700,"Upland rice grown, rainfed and direct seeded. Limited use of herbicides, DAP or SSP fertiliser at planting and Urea as a top dressing"
Sorghum,Karamoja Dry Zone,One season,7,4,10,kg/ha,100 - 120,,"Rain fed, direct seeded, is a major crop in the semi-arid area, grown with no additional inputs"
Sorghum,Karamoja Wet Zone,One season,7,4,10,kg/ha,100 - 180,,"Rainfed, direct seeded, is a major crop, use is made longer maturity but more reliable local landraces, grown with no additional inputs"
Sorghum,Northern Farming System,Two seasons,7,8,10,kg/ha,100 - 120,,"Rain fed, direct seeded, grown with no additional inputs"
Sorghum,West Nile Farming System,One season,7,8,10,kg/ha,100 - 120,,"Rain fed, direct seeded, grown as an insurance crop against drought with no additional inputs"
Sorghum,Eastern Savanna,Two seasons,6,8,10,kg/ha,100 - 120,,"Rain fed, direct seeded, grown as an insurance against drought with no additional inputs"
Sorghum,South Western Highlands,One season,12,8,10,kg/ha,100 - 180,,"Rain fed, direct seeded, major crop in south west highlands, no major additional highlands used"
"Wheat, bread",Eastern Highlands,Two seasons,6,9,56,kg/ha,100 - 110,,Production has been decreasing due to lack of suitable machinery for harvesting and resurgence of barley production supported by Uganda Breweries
Cassava,Northern Farming System,One season,9,8,750,cuttings/ha,6 - 18,,"Grows even on poor soils, largely regarded as a famine insurance crop, grown with no additional inputs. Late harvest date is that of the following year"
Cassava,Karamoja Wet Zone,One season,9,8,750,cuttings/ha,6 - 18,,"Grows even on poor soils, mostly shorter maturity varieties used, grown with no additional inputs. Late harvest date is that of the following year"
Cassava,West Nile Farming System,One season,9,8,750,cuttings/ha,6 - 18,,"Grows even on poor soils, largely regarded as a famine insurance crop, grown with no additional inputs. Late harvest date is that of the following year"
Cassava,Eastern Savanna,One season,9,4,750,cuttings/ha,6 - 18,,"Grows even on poor soils, largely regarded as a famine insurance crop, grown with no additional inputs. Late harvest date is that of the following year"
Cassava,Busoga Farming System,One season,9,8,750,cuttings/ha,6 - 18,,"Grows even on poor soils, largely regarded as a famine insurance crop, grown with no additional inputs. Late harvest date is that of the following year"
Cassava,Lake Victoria Crescent,One season,8,9,750,cuttings/ha,6 - 18,,"Grows even on poor soils, largely regarded as a famine insurance crop, grown with no additional inputs. Late harvest date is that of the following year"
Cassava,Lake Albert Crescent,One season,9,9,750,cuttings/ha,6 - 18,,"Grows even on poor soils, largely regarded as a famine insurance crop, grown with no additional inputs. Late harvest date of is that the following year"
Cassava,Western Range Lands,One season,9,9,750,cuttings/ha,6 - 18,,"Grows even on poor soils, largely regarded as a famine insurance crop, grown with no additional inputs. Late harvest date is that of the following year"
Cassava,Eastern Highlands,One season,9,8,750,cuttings/ha,6 - 18,,"Grows even on poor soils, largely regarded as a famine insurance crop, grown with no additional inputs. Late harvest date is that of the following year. Grown in the lower ranges of the highland area"
Cassava,South Western Highlands,One season,9,9,750,cuttings/ha,6 - 18,,"Grows even on poor soils, largely regarded as a famine insurance crop, grown with no additional inputs. Late harvest date is that of the following year. Grown in the lower ranges of the highland area"
Sweet potato,Karamoja Wet Zone,One season,7,4,1,cuttings/ha,100 - 170,,"There crop is grown in Abim district and parts of Moroto, Nakapripirit & Kaabong districts. Due to a prolonged dry season, the greatest challenge is the maintenance of planting materials. Grown on mounds"
Sweet potato,Northern Farming System,Two seasons,7,8,1,cuttings/ha,100 - 170,,"Grown on mounds, mostly as a sole crop. Plantings are generally from sproots of the previous season. Several varieties/types in the same field. Cropped after planting of groundnuts, sorghum or maize is done. Harvesting generally as piece meals"
Sweet potato,West Nile Farming System,Two seasons,7,8,1,cuttings/ha,100 - 170,,"Grown on mounds, mostly as a sole crop. Plantings are generally from sproots of the previous season. Several varieties/types in the same field. Cropped after planting of groundnuts, sorghum or maize is done"
